ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
a;1;1;10092.45;VER;frequents;court;V;V;1
il;1;2;22020.4;PRO;frequents;court;VC;VC;0
la;1;2;31309.86;DET;frequents;court;CV;CV;0
le;1;2;32230.77;DET;frequents;court;CV;CV;0
ami;1;3;540.49;NC;frequents;court;VCV;VCV;1
ma;1;2;999.73;DET;frequents;court;CV;CV;0
mal;1;3;239.09;ADV;frequents;court;CVC;CVC;0
mamie;1;5;71.86;NC;frequents;court;CVCVV;CVCV;0
me;1;2;824.58;PRO;frequents;court;CV;CV;0
mi;1;2;15.53;NC;rares;court;CV;CV;0
lasso;1;5;2.49;NC;rares;court;CVCCV;CVCV;0
os;1;2;120.03;NC;frequents;court;VC;VC;0
sa;1;2;3741.91;DET;frequents;court;CV;CV;0
sali;1;4;34.99;VER;rares;court;CVCV;CVCV;1
se;1;2;6147.36;PRO;frequents;court;CV;CV;0
si;1;2;1083.64;ADV;frequents;court;CV;CV;0
sol;1;3;186.65;NC;frequents;court;CVC;CVC;0
allé;1;4;149.21;VER;frequents;court;VCCV;VCV;0
ému;1;3;5.41;ADJ;rares;court;VCV;VCV;1
salé;1;4;1.39;ADJ;rares;court;CVCV;CVCV;1
semé;1;4;25.67;VER;rares;court;CVCV;CVCV;1
lavé;1;4;0.43;VER;rares;court;CVCV;CVCV;1
levé;1;4;3.81;VER;rares;court;CVCV;CVCV;1
va;1;2;2087.4;VER;frequents;court;CV;CV;0
vélo;1;4;573.3;NC;frequents;court;CVCV;CVCV;1
villa;1;5;18.38;NC;rares;court;CVCCV;CVCCV;0
vol;1;3;16.2;NC;rares;court;CVC;CVC;0
volé;1;4;60.17;VER;frequents;court;CVCV;CVCV;1
vu;1;2;618.55;VER;frequents;court;CV;CV;0
ira;1;3;44.57;VER;frequents;court;VCV;VCV;1
iris;1;4;8.23;NC;rares;court;VCVC;VCVC;0
lira;1;4;12.28;VER;rares;court;CVCV;CVCV;1
mari;1;4;25.72;NC;rares;court;CVCV;CVCV;1
mur;1;3;195.94;NC;frequents;court;CVC;CVC;0
or;1;2;107.48;NC;frequents;court;VC;VC;0
ramé;1;4;0.52;VER;rares;court;CVCV;CVCV;1
salir;1;5;19.48;VER;rares;court;CVCVC;CVCVC;0
sera;1;4;251.62;VER;frequents;court;CVCV;CVCV;1
sur;1;3;5205.24;PRE;frequents;court;CVC;CVC;0
amour;1;5;21.78;NC;rares;court;VCVVC;VCVC;0
mou;1;3;3.85;ADJ;rares;court;CVV;CV;0
ou;1;2;1145.98;CON;frequents;court;VV;V;0
ours;1;4;643.1;NC;frequents;court;VVCC;VCC;0
ouvrir;1;6;97.21;VER;frequents;long;VVCCVC;VCCVC;0
roula;1;5;10.68;VER;rares;court;CVVCV;CVCV;0
roulé;1;5;0.7;VER;rares;court;CVVCV;CVCV;0
sou;1;3;0.42;NC;rares;court;CVV;CV;0
lame;1;4;25.7;NC;rares;court;CVCV;CVC;1
lave;1;4;200.44;VER;frequents;court;CVCV;CVC;1
lire;1;4;628.94;VER;frequents;court;CVCV;CVC;1
lit;1;3;854.38;NC;frequents;court;CVC;CV;0
mie;1;3;0.5;NC;rares;court;CVV;CV;0
mot;1;3;238.6;NC;frequents;court;CVC;CV;0
moule;1;5;55.04;NC;frequents;court;CVVCV;CVC;0
mousse;1;6;116.59;NC;frequents;long;CVVCCV;CVC;0
mule;1;4;31.62;NC;rares;court;CVCV;CVC;1
olive;1;5;25.48;NC;rares;court;VCVCV;VCVC;1
rat;1;3;460.21;NC;frequents;court;CVC;CV;0
rive;1;4;51.8;NC;frequents;court;CVCV;CVC;1
roux;1;4;26.73;ADJ;rares;court;CVVC;CV;0
rue;1;3;707.09;NC;frequents;court;CVV;CV;0
sale;1;4;158.95;ADJ;frequents;court;CVCV;CVC;1
rame;1;4;32.5;NC;rares;court;CVCV;CVC;1
salut;1;5;22.39;NC;rares;court;CVCVC;CVCV;0
souris;1;6;514.05;NC;frequents;long;CVVCVC;CVCV;0
sous;1;4;622.39;PRE;frequents;court;CVVC;CV;0
vie;1;3;126.38;NC;frequents;court;CVV;CV;0
ville;1;5;411.38;NC;frequents;court;CVCCV;CVC;0
vole;1;4;167.02;VER;frequents;court;CVCV;CVC;1
vos;1;3;52.33;DET;frequents;court;CVC;CV;0
vous;1;4;1552.03;PRO;frequents;court;CVVC;CV;0
vue;1;3;13.47;NC;rares;court;CVV;CV;0
animal;1;6;221.99;NC;frequents;long;VCVCVC;VCVCVC;0
année;1;5;182.15;NC;frequents;court;VCCVV;VCV;0
lune;1;4;470.6;NC;frequents;court;CVCV;CVC;1
marine;1;6;13.76;ADJ;rares;long;CVCVCV;CVCVC;1
menu;1;4;58.7;NC;frequents;court;CVCV;CVCV;1
navire;1;6;81.41;NC;frequents;long;CVCVCV;CVCVC;1
ne;1;2;4200.13;ADV;frequents;court;CV;CV;0
né;1;2;42.54;VER;frequents;court;CV;CV;0
ni;1;2;265.5;CON;frequents;court;CV;CV;0
nos;1;3;123.43;DET;frequents;court;CVC;CV;0
nourrir;1;7;24.83;VER;rares;long;CVVCCVC;CVCVC;0
sonne;1;5;113.84;VER;frequents;court;CVCCV;CVC;0
nous;1;4;1409.3;PRO;frequents;court;CVVC;CV;0
nu;1;2;42.08;ADJ;frequents;court;CV;CV;0
nul;1;3;0.43;PRO;rares;court;CVC;CVC;0
numéro;1;6;90.31;NC;frequents;long;CVCVCV;CVCVCV;1
savane;1;6;0.62;NC;rares;long;CVCVCV;CVCVC;1
une;1;3;20528.37;DET;frequents;court;VCV;VC;1
venir;1;5;108.99;VER;frequents;court;CVCVC;CVCVC;0
un;1;2;28807.19;DET;frequents;court;VC;V;0
affamé;1;6;0.37;ADJ;rares;long;VCCVCV;VCVCV;0
fa;1;2;23.83;NC;rares;court;CV;CV;0
fallu;1;5;8.16;VER;rares;court;CVCCV;CVCV;0
farine;1;6;229.63;NC;frequents;long;CVCVCV;CVCVC;1
fée;1;3;112.55;NC;frequents;court;CVV;CV;0
file;1;4;56.43;VER;frequents;court;CVCV;CVC;1
fine;1;4;19.42;ADJ;rares;court;CVCV;CVC;1
