stimulus;nblettres;freqlemfilms2;ifreq;wtype;word;correct_answer_tablette;correct_answer;type
aisé;4;3.03;1;0;aisé;1;m;word
rime;4;3.08;1;0;rime;1;m;word
mâle;4;3.09;1;0;mâle;1;m;word
dock;4;3.1;1;0;dock;1;m;word
lave;4;3.13;1;0;lave;1;m;word
yack;4;3.15;1;0;yack;1;m;word
yoga;4;3.17;1;0;yoga;1;m;word
croc;4;3.19;1;0;croc;1;m;word
sève;4;3.19;1;0;sève;1;m;word
elfe;4;3.26;1;0;elfe;1;m;word
ruer;4;3.27;1;0;ruer;1;m;word
guet;4;3.29;1;0;guet;1;m;word
haie;4;3.36;1;0;haie;1;m;word
sire;4;3.37;1;0;sire;1;m;word
fief;4;3.38;1;0;fief;1;m;word
vomi;4;3.52;1;0;vomi;1;m;word
gale;4;3.52;1;0;gale;1;m;word
lobe;4;3.58;1;0;lobe;1;m;word
tôle;4;3.58;1;0;tôle;1;m;word
pôle;4;3.59;1;0;pôle;1;m;word
gêne;4;3.62;1;0;gêne;1;m;word
tige;4;3.73;1;0;tige;1;m;word
brut;4;3.86;1;0;brut;1;m;word
gala;4;3.9;1;0;gala;1;m;word
iris;4;3.93;1;0;iris;1;m;word
dune;4;3.96;1;0;dune;1;m;word
raid;4;3.98;1;0;raid;1;m;word
flux;4;4.07;1;0;flux;1;m;word
plan;4;4.08;1;0;plan;1;m;word
cale;4;4.08;1;0;cale;1;m;word
diva;4;4.16;1;0;diva;1;m;word
ride;4;4.2;1;0;ride;1;m;word
turc;4;4.25;1;0;turc;1;m;word
taxe;4;4.34;1;0;taxe;1;m;word
rame;4;4.38;1;0;rame;1;m;word
abbé;4;4.46;1;0;abbé;1;m;word
poli;4;4.68;1;0;poli;1;m;word
bond;4;4.69;1;0;bond;1;m;word
abus;4;4.75;1;0;abus;1;m;word
grue;4;4.76;1;0;grue;1;m;word
sofa;4;4.77;1;0;sofa;1;m;word
pion;4;4.91;1;0;pion;1;m;word
zèle;4;4.92;1;0;zèle;1;m;word
toux;4;4.94;1;0;toux;1;m;word
ravi;4;5.02;1;0;ravi;1;m;word
coût;4;5.04;1;0;coût;1;m;word
aigu;4;5.08;1;0;aigu;1;m;word
obus;4;5.13;1;0;obus;1;m;word
trac;4;5.17;1;0;trac;1;m;word
case;4;5.18;1;0;case;1;m;word
solo;4;5.22;1;0;solo;1;m;word
issu;4;5.24;1;0;issu;1;m;word
mime;4;5.35;1;0;mime;1;m;word
scie;4;5.36;1;0;scie;1;m;word
brin;4;5.38;1;0;brin;1;m;word
nage;4;5.42;1;0;nage;1;m;word
rite;4;5.43;1;0;rite;1;m;word
pieu;4;5.45;1;0;pieu;1;m;word
roux;4;5.52;1;0;roux;1;m;word
aire;4;5.54;1;0;aire;1;m;word
surf;4;5.57;1;0;surf;1;m;word
cire;4;5.59;1;0;cire;1;m;word
