ORTHO;PERIODE;NBLET;CP_U;GRAM
a;1;1;10092.45;VER
il;1;2;22020.40;PRO
la;1;2;31309.86;DET
le;1;2;32230.77;DET
ami;1;3;540.49;NC
lama;1;4;#N/A;#N/A
ma;1;2;999.73;DET
mal;1;3;239.09;ADV
mamie;1;5;71.86;NC
me;1;2;824.58;PRO
mi;1;2;15.53;NC
lasso;1;5;2.49;NC
os;1;2;120.03;NC
sa;1;2;3741.91;DET
sali;1;4;34.99;VER
se;1;2;6147.36;PRO
si;1;2;1083.64;ADV
sol;1;3;186.65;NC
allé;1;4;149.21;VER
ému;1;3;5.41;ADJ
lié;1;3;#N/A;#N/A
salé;1;4;1.39;ADJ
semé;1;4;25.67;VER
lavé;1;4;0.43;VER
levé;1;4;3.81;VER
va;1;2;2087.40;VER
vélo;1;4;573.30;NC
villa;1;5;18.38;NC
vol;1;3;16.20;NC
volé;1;4;60.17;VER
vu;1;2;618.55;VER
ira;1;3;44.57;VER
iris;1;4;8.23;NC
lira;1;4;12.28;VER
mari;1;4;25.72;NC
mur;1;3;195.94;NC
or;1;2;107.48;NC
ramé;1;4;0.52;VER
revu;1;4;#N/A;#N/A
salir;1;5;19.48;VER
sera;1;4;251.62;VER
sur;1;3;5205.24;PRE
amour;1;5;21.78;NC
mou;1;3;3.85;ADJ
ou;1;2;1145.98;CON
ours;1;4;643.10;NC
ouvrir;1;6;97.21;VER
roula;1;5;10.68;VER
roulé;1;5;0.70;VER
sou;1;3;0.42;NC
ile;1;3;#N/A;#N/A
lame;1;4;25.70;NC
lave;1;4;200.44;VER
lire;1;4;628.94;VER
lit;1;3;854.38;NC
mie;1;3;0.50;NC
mot;1;3;238.60;NC
moule;1;5;55.04;NC
mousse;1;6;116.59;NC
mule;1;4;31.62;NC
olive;1;5;25.48;NC
rat;1;3;460.21;NC
rive;1;4;51.80;NC
roux;1;4;26.73;ADJ
rue;1;3;707.09;NC
sale;1;4;158.95;ADJ
rame;1;4;32.50;NC
salut;1;5;22.39;NC
souris;1;6;514.05;NC
sous;1;4;622.39;PRE
vie;1;3;126.38;NC
ville;1;5;411.38;NC
vole;1;4;167.02;VER
vos;1;3;52.33;DET
vous;1;4;1552.03;PRO
vue;1;3;13.47;NC
animal;1;6;221.99;NC
année;1;5;182.15;NC
lune;1;4;470.60;NC
marine;1;6;13.76;ADJ
menu;1;4;58.70;NC
navire;1;6;81.41;NC
ne;1;2;4200.13;ADV
né;1;2;42.54;VER
ni;1;2;265.50;CON
nos;1;3;123.43;DET
nourrir;1;7;24.83;VER
sonne;1;5;113.84;VER
nous;1;4;1409.30;PRO
nu;1;2;42.08;ADJ
nul;1;3;0.43;PRO
numéro;1;6;90.31;NC
savane;1;6;0.62;NC
une;1;3;20528.37;DET
venir;1;5;108.99;VER
un;1;2;28807.19;DET
affamé;1;6;0.37;ADJ
fa;1;2;23.83;NC
fallu;1;5;8.16;VER
farine;1;6;229.63;NC
fée;1;3;112.55;NC
file;1;4;56.43;VER
fine;1;4;19.42;ADJ
fini;1;4;140.55;VER
finir;1;5;35.66;VER
fort;1;4;307.68;ADV
four;1;4;101.63;NC
fume;1;4;50.42;VER
affiche;1;7;48.13;NC
char;1;4;24.87;NC
chasse;1;6;36.73;NC
chassé;1;6;0.52;VER
chat;1;4;1714.06;NC
cheval;1;6;292.77;NC
chou;1;4;109.79;NC
machine;1;7;118.01;NC
marché;1;6;73.23;NC
miche;1;5;#N/A;#N/A
mouche;1;6;32.52;NC
niche;1;5;131.88;NC
riche;1;5;31.77;ADJ
roche;1;5;0.62;NC
ruche;1;5;36.73;NC
vache;1;5;176.26;NC
jaloux;1;6;8.26;ADJ
joli;1;4;240.27;ADJ
joué;1;4;90.44;VER
joujou;1;6;#N/A;#N/A
jour;1;4;858.94;NC
journal;1;7;205.42;NC
journée;1;7;223.31;NC
jus;1;3;121.11;NC
séjour;1;6;13.45;NC
adore;1;5;39.44;VER
dame;1;4;104.66;NC
de;1;2;25056.03;PRE
dé;1;2;21.62;NC
déchiré;1;7;3.84;VER
demi;1;4;3.84;ADV
dessus;1;6;59.96;ADV
dire;1;4;267.30;VER
do;1;2;22.47;NC
domino;1;6;42.60;NC
doré;1;4;22.91;ADJ
dormir;1;6;104.63;VER
dos;1;3;362.61;NC
douche;1;6;46.70;NC
doux;1;4;70.22;ADJ
du;1;2;6517.12;DET
dune;1;4;#N/A;#N/A
dur;1;3;53.97;ADJ
foudre;1;6;1.83;NC
idée;1;4;273.93;NC
judo;1;4;41.47;NC
lundi;1;5;70.22;NC
madame;1;6;273.93;NC
malade;1;6;188.11;ADJ
mardi;1;5;102.27;NC
midi;1;4;179.53;NC
radio;1;5;54.11;NC
radis;1;5;131.21;NC
salade;1;6;296.16;NC
solide;1;6;45.30;ADJ
sud;1;3;10.67;NC
chuchoté;1;8;1.01;VER
chute;1;5;3.72;NC
date;1;4;25.92;NC
été;1;3;295.02;VER
loto;1;4;81.43;NC
métal;1;5;1.05;NC
météo;1;5;7.60;NC
métro;1;5;#N/A;#N/A
minute;1;6;42.68;NC
moto;1;4;259.60;NC
nature;1;6;40.69;NC
noté;1;4;3.97;VER
notre;1;5;228.92;DET
ortie;1;5;#N/A;#N/A
route;1;5;423.93;NC
ta;1;2;378.88;DET
tache;1;5;50.13;NC
tarte;1;5;240.05;NC
tartine;1;7;32.89;NC
tasse;1;5;109.63;NC
te;1;2;873.39;PRO
télé;1;4;51.69;NC
tir;1;3;21.94;NC
tissu;1;5;70.34;NC
tomate;1;6;47.33;NC
torche;1;6;#N/A;#N/A
tortue;1;6;515.09;NC
toujours;1;8;485.48;ADV
tour;1;4;306.76;NC
tousse;1;6;38.11;VER
triste;1;6;111.25;ADJ
trou;1;4;195.23;NC
trousse;1;7;50.59;NC
tu;1;2;5467.58;PRO
vite;1;4;1365.09;ADV
votre;1;5;249.57;DET
départ;1;6;215.91;NC
épi;1;3;43.23;NC
jupe;1;4;122.04;NC
papa;1;4;1269.72;NC
par;1;3;1217.79;PRE
parti;1;5;36.79;VER
pas;1;3;5110.42;ADV
passé;1;5;3.96;ADJ
pédale;1;6;35.56;NC
pétale;1;6;32.36;NC
petit;1;5;3700.98;ADJ
pétri;1;5;0.42;VER
piano;1;5;62.91;NC
pie;1;3;110.52;NC
pile;1;4;88.02;NC
pilote;1;6;34.95;NC
pipe;1;4;90.99;NC
pirate;1;6;43.58;NC
piste;1;5;105.85;NC
pli;1;3;10.33;NC
plu;1;3;36.73;VER
plume;1;5;112.23;NC
poche;1;5;159.91;NC
poli;1;4;19.03;ADJ
porte;1;5;544.91;NC
poste;1;5;159.59;NC
poule;1;5;183.83;NC
poupée;1;6;178.76;NC
pour;1;4;5832.38;PRE
poux;1;4;15.64;NC
prix;1;4;98.36;NC
proche;1;6;0.76;ADJ
prune;1;5;15.28;NC
pu;1;2;84.06;VER
rapide;1;6;143.76;ADJ
tapis;1;5;221.51;NC
toupie;1;6;27.16;NC
arc;2;3;22.23;NC
cacao;2;5;38.91;NC
café;2;4;122.05;NC
car;2;3;358.59;CON
carotte;2;7;3.72;NC
carré;2;5;40.34;NC
carte;2;5;187.67;NC
cassé;2;5;114.62;VER
cave;2;4;94.61;NC
chocolat;2;8;446.19;NC
clé;2;3;126.59;NC
cloche;2;6;58.91;NC
clou;2;4;70.22;NC
coco;2;4;6.55;NC
colle;2;5;81.11;NC
copine;2;6;#N/A;#N/A
cou;2;3;169.06;NC
coucou;2;6;22.34;NC
coude;2;5;21.97;NC
coupe;2;5;127.35;VER
coupé;2;5;31.82;VER
courir;2;6;118.70;VER
cri;2;3;73.54;NC
cru;2;3;27.23;VER
culotte;2;7;65.04;NC
éclat;2;5;3.89;NC
école;2;5;1076.05;NC
écrire;2;6;156.49;VER
lac;2;3;107.33;NC
parc;2;4;82.00;NC
pic;2;3;33.11;NC
récré;2;5;#N/A;#N/A
sac;2;3;484.38;NC
sucre;2;5;307.93;NC
sucré;2;5;#N/A;#N/A
abri;2;4;104.17;NC
arbre;2;5;398.19;NC
bac;2;3;3.89;NC
balade;2;6;1.22;NC
balle;2;5;168.07;NC
banane;2;6;96.86;NC
bas;2;3;61.11;NC
bébé;2;4;379.08;NC
biche;2;5;13.26;NC
bijou;2;5;10.60;NC
blé;2;3;90.91;NC
boa;2;3;16.21;NC
bol;2;3;123.06;NC
bouche;2;6;173.57;NC
boucle;2;6;19.08;NC
bravo;2;5;98.65;INT
brioche;2;7;52.41;NC
brun;2;4;25.74;ADJ
bu;2;2;63.83;VER
bulle;2;5;8.18;NC
cabine;2;6;13.47;NC
cobra;2;5;#N/A;#N/A
crabe;2;5;54.23;NC
lavabo;2;6;51.17;NC
oublié;2;6;82.78;VER
robe;2;4;256.91;NC
sable;2;5;68.58;NC
table;2;5;479.89;NC
tube;2;4;31.64;NC
frigo;2;5;0.62;NC
galope;2;6;8.96;VER
gare;2;4;147.84;NC
grappe;2;6;46.70;NC
gré;2;3;#N/A;#N/A
griffe;2;6;0.42;NC
gris;2;4;107.63;ADJ
grotte;2;6;21.87;NC
groupe;2;6;5.45;NC
grue;2;4;28.60;NC
légume;2;6;22.32;NC
ogre;2;4;47.53;NC
rigolo;2;6;0.50;ADJ
tigre;2;5;84.58;NC
bague;2;5;131.23;NC
blague;2;6;#N/A;#N/A
guérir;2;6;8.23;VER
gui;2;3;3.67;NC
gué;2;3;#N/A;#N/A
guide;2;5;11.87;NC
guitare;2;7;189.79;NC
vague;2;5;25.24;NC
anorak;2;6;35.76;NC
karaté;2;6;3.74;NC
képi;2;4;44.35;NC
kilo;2;4;75.75;NC
kimono;2;6;49.39;NC
koala;2;5;13.93;NC
ski;2;3;159.32;NC
brique;2;6;7.97;NC
casque;2;6;19.60;NC
chaque;2;6;660.06;ADJ
claque;2;6;10.63;NC
coq;2;3;159.76;NC
croqué;2;6;#N/A;#N/A
équipe;2;6;90.42;NC
liquide;2;7;10.56;NC
masque;2;6;107.22;NC
nuque;2;5;1.50;NC
piqué;2;5;8.14;VER
quart;2;5;0.42;NC
que;2;3;2806.59;CON
qui;2;3;6617.53;PRO
quiche;2;6;#N/A;#N/A
risque;2;6;13.38;VER
taquine;2;7;7.63;VER
azur;2;4;3.97;NC
bazar;2;5;29.45;NC
bizarre;2;7;117.57;ADJ
douze;2;5;73.08;ADJ
gaz;2;3;21.94;NC
zéro;2;4;63.81;NC
zoo;2;3;145.77;NC
es;2;2;377.17;VER
des;2;3;10966.62;DET
les;2;3;13993.85;DET
mes;2;3;430.31;DET
ses;2;3;2209.86;DET
tes;2;3;229.48;DET
est;2;3;18352.48;VER
dent;2;4;128.70;NC
en;2;2;6156.27;PRE
temple;2;6;#N/A;#N/A
encore;2;6;794.32;ADV
entré;2;5;3.89;VER
envie;2;5;166.73;NC
lent;2;4;10.86;ADJ
ment;2;4;4.03;VER
mentir;2;6;5.49;VER
prendre;2;7;232.09;VER
sentir;2;6;5.58;VER
tente;2;5;55.38;NC
vendre;2;6;47.78;VER
vent;2;4;422.01;NC
ventre;2;6;176.35;NC
avion;2;5;235.19;NC
ballon;2;6;216.64;NC
bon;2;3;661.22;ADJ
bonbon;2;6;37.78;NC
bonjour;2;7;388.39;NC
bouton;2;6;52.85;NC
camion;2;6;161.05;NC
cochon;2;6;81.74;NC
compote;2;7;35.02;NC
conte;2;5;55.10;NC
coton;2;5;39.54;NC
dragon;2;6;31.32;NC
fondu;2;5;10.87;ADJ
lion;2;4;202.12;NC
melon;2;5;28.70;NC
mon;2;3;1824.41;DET
monstre;2;7;27.10;NC
montre;2;6;99.87;VER
montré;2;6;#N/A;#N/A
mouton;2;6;172.46;NC
nombre;2;6;52.28;NC
ombre;2;5;86.40;NC
on;2;2;2897.81;PRO
oncle;2;5;105.66;NC
ongle;2;5;28.60;NC
onze;2;4;93.05;ADJ
pompe;2;5;63.64;NC
pont;2;4;189.23;NC
salon;2;5;74.42;NC
son;2;3;5141.88;DET
ton;2;3;441.74;DET
angle;2;5;3.62;NC
avant;2;5;329.03;PRE
banque;2;6;3.91;NC
blanche;2;7;122.53;ADJ
cantine;2;7;52.68;NC
chambre;2;7;372.45;NC
chanson;2;7;134.53;NC
danse;2;5;67.18;NC
devant;2;6;275.00;PRE
écran;2;5;36.38;NC
gant;2;4;36.77;NC
jambe;2;5;81.91;NC
jambon;2;6;107.11;NC
lampe;2;5;138.13;NC
maman;2;5;2333.21;NC
manche;2;6;69.13;NC
panda;2;5;0.77;NC
pendant;2;7;462.03;PRE
plan;2;4;27.44;NC
ruban;2;5;39.56;NC
tante;2;5;78.55;NC
viande;2;6;40.47;NC
volcan;2;6;11.90;NC
chemin;2;6;261.03;_NC
dinde;2;5;15.56;NC
fin;2;3;202.26;NC
impoli;2;6;7.21;ADJ
invité;2;6;45.78;VER
jardin;2;6;1082.71;NC
lapin;2;5;386.80;NC
lin;2;3;0.62;NC
malin;2;5;23.52;ADJ
matin;2;5;671.84;NC
pin;2;3;32.01;NC
sapin;2;5;218.40;NC
timbre;2;6;36.15;NC
vin;2;3;35.48;NC
avec;2;4;5207.47;PRE
belle;2;5;400.52;ADJ
elle;2;4;8507.24;PRO
ferme;2;5;158.31;NC
festin;2;6;0.42;NC
galette;2;7;60.06;NC
jette;2;5;109.76;VER
lettre;2;6;186.65;NC
pelle;2;5;92.42;NC
perdu;2;5;284.08;VER
perle;2;5;8.32;NC
poubelle;2;8;19.72;NC
quel;2;4;540.36;ADJ
reste;2;5;288.36;VER
serpent;2;7;78.97;NC
terre;2;5;569.25;NC
verre;2;5;227.40;NC
vert;2;4;433.81;ADJ
veste;2;5;110.51;NC
ça;2;2;827.61;PRO
ce;2;2;1453.13;DET
ceci;2;4;7.68;PRO
cela;2;4;301.36;PRO
cet;2;3;181.99;DET
cette;2;5;938.85;DET
ci;2;2;25.90;ADV
ciel;2;4;231.89;NC
cil;2;3;19.75;NC
cirque;2;6;216.58;NC
cité;2;4;#N/A;#N/A
citron;2;6;126.20;NC
douce;2;5;32.80;ADJ
épice;2;5;2.49;NC
facile;2;6;103.17;ADJ
garçon;2;6;535.11;NC
glace;2;5;332.42;NC
glaçon;2;6;10.70;NC
ici;2;3;253.98;ADV
leçon;2;5;96.92;NC
police;2;6;65.26;NC
prince;2;6;110.03;NC
puce;2;4;19.47;NC
reçu;2;4;87.88;VER
piscine;2;7;174.83;NC
scie;2;4;15.40;NC
agir;3;4;1.05;VER
bougie;3;6;58.46;NC
cage;3;4;154.77;NC
étage;3;5;10.75;NC
fromage;3;7;292.47;NC
